Frame_No,Template_No,x,y,mx,my
102,3,368,194,370.19846,186.65268
102,4,675,218,677.6989,208.83717
102,5,1062,48,1058.4819,39.290413
102,6,818,434,821.1677,422.49417
103,1,100,237,100.95414,231.52492
103,2,215,226,216.6581,219.57701
103,3,368,194,370.61963,186.34221
103,4,675,218,677.9848,208.09485
103,5,1062,48,1058.8901,38.288464
103,6,818,434,822.00134,421.98264
104,1,100,237,100.3212,231.91327
104,2,215,226,216.04025,220.01584
104,3,368,194,370.19534,186.79347
104,4,675,218,677.34515,208.1653
104,5,1062,48,1058.4873,38.28961
104,6,818,434,821.65295,422.01743
105,1,100,237,100.31743,231.91934
105,2,215,226,215.98376,219.93173
105,3,368,194,370.1771,186.74904
105,4,675,218,677.44293,208.03372
105,5,1062,48,1058.5187,38.023033
105,6,818,434,821.63104,421.71936
106,1,100,237,100.31622,232.03207
106,2,215,226,216.06343,220.09334
106,3,368,194,370.20007,186.81479
106,4,675,218,677.8442,208.52103
106,5,1062,48,1058.4973,38.261696
106,6,818,434,821.48444,421.90646
107,1,100,237,100.12206,232.00691
107,2,215,226,215.89291,219.91988
107,3,368,194,370.1894,186.63008
107,4,675,218,677.4797,208.07886
107,5,1062,48,1058.35,38.378437
107,6,818,434,821.42957,421.93555
108,1,100,237,100.05887,231.65454
108,2,215,226,215.95702,219.64217
108,3,368,194,369.98056,186.35345
108,4,675,218,677.4738,208.06195
108,5,1062,48,1058.3326,38.51487
108,6,818,434,821.3234,421.99814
109,1,100,237,99.80334,231.27036
109,2,215,226,215.77538,219.36072
109,3,368,194,370.00385,186.26161
109,4,675,218,677.43536,208.04439
109,5,1062,48,1058.2898,38.878864
109,6,818,434,821.21063,422.07205
110,1,100,237,100.25271,230.80739
110,2,215,226,216.16191,218.94753
110,3,368,194,370.5831,185.94788
110,4,675,218,678.02594,208.01456
110,5,1062,48,1058.5375,38.921032
110,6,818,434,821.5931,422.24377
111,1,100,237,100.36023,231.1638
111,2,215,226,216.34854,219.4782
111,3,368,194,370.67804,186.42773
111,4,675,218,677.981,208.46368
111,5,1062,48,1058.5092,39.61429
111,6,818,434,821.7043,422.84552
112,1,100,237,100.352325,230.9514
112,2,215,226,216.37141,219.13521
112,3,368,194,370.74435,186.2254
112,4,675,218,677.94824,208.38132
112,5,1062,48,1058.3248,39.593258
112,6,818,434,821.64685,422.45526
113,1,100,237,100.381836,230.9525
113,2,215,226,216.29234,219.22792
113,3,368,194,370.6204,186.3288
113,4,675,218,678.0814,208.6677
113,5,1062,48,1058.1569,39.862564
113,6,818,434,821.62604,422.58252
114,1,100,237,100.46221,231.29677
114,2,215,226,216.58798,219.6889
114,3,368,194,370.8794,186.6859
114,4,675,218,678.0404,208.8845
114,5,1062,48,1058.4432,40.322266
114,6,818,434,821.639,422.69534
115,1,100,237,100.45738,231.12778
115,2,215,226,216.361,219.26941
115,3,368,194,370.89566,186.51364
115,4,675,218,678.09143,208.63988
115,5,1062,48,1058.1865,40.093803
115,6,818,434,821.5192,422.21616
116,1,100,237,100.462364,231.13216
116,2,215,226,216.37715,219.28697
116,3,368,194,370.69977,186.43375
116,4,675,218,678.0969,208.61307
116,5,1062,48,1058.4702,40.04674
116,6,818,434,821.5646,422.2026
117,1,100,237,100.59656,231.6608
117,2,215,226,216.37958,219.97057
117,3,368,194,370.86765,186.88425
117,4,675,218,678.041,209.11002
117,5,1062,48,1058.6705,40.589287
117,6,818,434,821.5527,422.88293
118,1,100,237,100.48796,231.78473
118,2,215,226,216.40903,220.05798
118,3,368,194,370.9076,187.18083
118,4,675,218,678.1547,209.46236
118,5,1062,48,1058.9866,41.084984
118,6,818,434,821.57336,423.56665
119,1,100,237,100.11716,231.21313
119,2,215,226,216.32227,219.53769
119,3,368,194,371.01077,186.6965
119,4,675,218,678.50244,209.36671
119,5,1062,48,1058.8658,40.930958
119,6,818,434,821.67725,423.00275
120,1,100,237,100.05657,231.34407
120,2,215,226,216.18204,219.59698
120,3,368,194,370.94244,186.8145
120,4,675,218,678.74475,209.65875
120,5,1062,48,1058.6296,41.090996
